#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        52   -1.0555554372e+01    1.1173875332e+02   -2.1120883717e+01    1.0565329345e+01   -6.3053301446e+00    6.4907652311e-01   -2.6889626554e+00   -1.2775667440e+01   -2.4574056151e+00    9.5428230307e-02    6.0000000000e+01    3.8510930000e-03    7.7222222222e-01
        53   -1.0497241969e+01    1.1053948647e+02   -2.2131864638e+01    1.1634622669e+01   -7.2015860996e+00    6.2430923382e-01   -2.7789203318e+00   -1.2775667440e+01   -2.5039296733e+00    9.5428230307e-02    6.0000000000e+01    3.8024632500e-03    7.8402777778e-01
        54   -1.0451293295e+01    1.0948175192e+02   -2.2055845955e+01    1.1604552660e+01   -7.0930956619e+00    4.7423388001e-01   -2.6613167331e+00   -1.2775667440e+01   -2.3915087410e+00    9.5428230307e-02    6.0000000000e+01    3.7963486667e-03    7.5833333333e-01
        55   -1.0607085045e+01    1.1281409503e+02   -2.1723376480e+01    1.1116291434e+01   -6.6181211446e+00    5.8659273210e-01   -2.9161806267e+00   -1.2775667440e+01   -2.7143585506e+00    9.5428230307e-02    6.0000000000e+01    3.8084160000e-03    7.7986111111e-01
        56   -1.0507707157e+01    1.1073245745e+02   -2.1295420521e+01    1.0787713364e+01   -6.3897279684e+00    5.4801536597e-01   -2.6780404781e+00   -1.2775667440e+01   -2.4365546441e+00    9.5428230307e-02    6.0000000000e+01    3.7948854167e-03    7.6388888889e-01
        57   -1.0488198855e+01    1.1035759827e+02   -2.0795342763e+01    1.0307143908e+01   -6.0218659424e+00    7.3976463926e-01   -2.7375740193e+00   -1.2775667440e+01   -2.4948112855e+00    9.5428230307e-02    6.0000000000e+01    3.8167327500e-03    7.7986111111e-01
        58   -1.0495037835e+01    1.1061454685e+02   -2.3914464341e+01    1.3419426506e+01   -8.9815767740e+00    4.9629736490e-01   -2.6535174919e+00   -1.2775667440e+01   -2.4027596918e+00    9.5428230307e-02    6.0000000000e+01    3.8489182500e-03    7.5694444444e-01
        59   -1.0469519667e+01    1.0989852529e+02   -2.3288641918e+01    1.2819122250e+01   -7.9471551867e+00    1.9729215691e-01   -2.7631114475e+00   -1.2775667440e+01   -2.5114340211e+00    9.5428230307e-02    6.0000000000e+01    3.8177670833e-03    7.4861111111e-01
        60   -1.0447166264e+01    1.0944359885e+02   -2.1395441485e+01    1.0948275221e+01   -6.9176595173e+00    6.9633083459e-01   -2.3984453619e+00   -1.2775667440e+01   -2.1207301719e+00    9.5428230307e-02    6.0000000000e+01    3.8339329167e-03    7.6944444444e-01
        61   -1.0590205248e+01    1.1240507573e+02   -2.1439858669e+01    1.0849653420e+01   -6.8203903671e+00    8.7317737516e-01   -2.7169782364e+00   -1.2775667440e+01   -2.4330817937e+00    9.5428230307e-02    6.0000000000e+01    3.8723225000e-03    7.7361111111e-01
        62   -1.0509706661e+01    1.1091813331e+02   -2.2542723246e+01    1.2033016586e+01   -7.8832305325e+00    6.5203718292e-01   -2.5358624565e+00   -1.2775667440e+01   -2.2604074065e+00    9.5428230307e-02    6.0000000000e+01    3.7815696667e-03    7.5416666667e-01
        63   -1.0591991058e+01    1.1265447133e+02   -2.2507488669e+01    1.1915497610e+01   -7.7027457721e+00    7.4401154647e-01   -2.7730870027e+00   -1.2775667440e+01   -2.5344484873e+00    9.5428230307e-02    6.0000000000e+01    3.8200295000e-03    7.5625000000e-01
        64   -1.0547877722e+01    1.1170492309e+02   -2.2487949082e+01    1.1940071360e+01   -7.9339408901e+00    8.4412282536e-01   -2.6224635769e+00   -1.2775667440e+01   -2.3766354146e+00    9.5428230307e-02    6.0000000000e+01    3.7874590000e-03    7.7013888889e-01
        65   -1.0423191045e+01    1.0896406908e+02   -2.2038119495e+01    1.1614928451e+01   -7.3566663064e+00    3.8286604241e-01   -2.2886517911e+00   -1.2775667440e+01   -2.0499042800e+00    9.5428230307e-02    6.0000000000e+01    3.8493120833e-03    7.7569444444e-01
        66   -1.0618885357e+01    1.1301759512e+02   -2.1781800015e+01    1.1162914659e+01   -7.1706522328e+00    9.1882382634e-01   -2.7543041687e+00   -1.2775667440e+01   -2.5337867740e+00    9.5428230307e-02    6.0000000000e+01    3.8066408333e-03    7.6250000000e-01
        67   -1.0452357812e+01    1.0973267813e+02   -2.1584192318e+01    1.1131834506e+01   -6.7993780392e+00    5.5784666649e-01   -2.5669935054e+00   -1.2775667440e+01   -2.3152352671e+00    9.5428230307e-02    6.0000000000e+01    3.7952533333e-03    7.6180555556e-01
        68   -1.0604498854e+01    1.1293209549e+02   -2.2305409291e+01    1.1700910437e+01   -8.0506957587e+00    1.0614596134e+00   -2.5405057053e+00   -1.2775667440e+01   -2.3026517662e+00    9.5428230307e-02    6.0000000000e+01    3.7830993333e-03    7.5763888889e-01
        69   -1.0617617502e+01    1.1304529216e+02   -2.1427911970e+01    1.0810294468e+01   -6.4591788900e+00    7.7164831251e-01   -2.9647139526e+00   -1.2775667440e+01   -2.7480391979e+00    9.5428230307e-02    6.0000000000e+01    3.8320139167e-03    7.6736111111e-01
