#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
        56   -1.0535176691e+01    1.1135633623e+02   -2.1998973755e+01    1.1463797063e+01   -7.1849907533e+00    6.5039940901e-01   -2.6887149702e+00   -1.2775667440e+01   -2.4587759863e+00    1.0135135226e+04    9.4210806800e-01    9.9451051021e-01
        57   -1.0530386139e+01    1.1125865629e+02   -2.1952423106e+01    1.1422036968e+01   -7.1538147378e+00    6.2666588465e-01   -2.6496068130e+00   -1.2775667440e+01   -2.4169011777e+00    1.0165250397e+04    9.6531228300e-01    9.9489620228e-01
        58   -1.0532754388e+01    1.1130742119e+02   -2.2124791637e+01    1.1592037250e+01   -7.3349552083e+00    6.2315202608e-01   -2.6373210150e+00   -1.2775667440e+01   -2.3975051800e+00    1.0203277324e+04    1.0754700200e+00    9.9440060772e-01
        59   -1.0547647880e+01    1.1163903360e+02   -2.2149564018e+01    1.1601916138e+01   -7.3349835142e+00    6.3450033454e-01   -2.6734133985e+00   -1.2775667440e+01   -2.4326771019e+00    1.0255039453e+04    1.0182996700e+00    9.9456256705e-01
        60   -1.0525569866e+01    1.1126600595e+02   -2.2136203155e+01    1.1610633288e+01   -7.3107666941e+00    6.3540861728e-01   -2.6851776376e+00   -1.2775667440e+01   -2.4433786845e+00    1.0332268276e+04    1.0137616770e+00    9.9502806542e-01
        61   -1.0541536066e+01    1.1150295514e+02   -2.2047496154e+01    1.1505960088e+01   -7.2250126820e+00    6.5415844852e-01   -2.7009744800e+00   -1.2775667440e+01   -2.4647753715e+00    1.0304806544e+04    1.0396212550e+00    9.9427406832e-01
        62   -1.0524610592e+01    1.1115549147e+02   -2.2156057160e+01    1.1631446568e+01   -7.3286619089e+00    6.2650020082e-01   -2.6782280116e+00   -1.2775667440e+01   -2.4416408181e+00    1.0158794321e+04    9.9643114600e-01    9.9408101989e-01
        63   -1.0532454517e+01    1.1130716642e+02   -2.2068922977e+01    1.1536468459e+01   -7.2376457580e+00    6.0992162485e-01   -2.6655314032e+00   -1.2775667440e+01   -2.4233719067e+00    1.0193101471e+04    1.0065725110e+00    9.9482437206e-01
        64   -1.0522281932e+01    1.1108820507e+02   -2.2086814325e+01    1.1564532393e+01   -7.1857008578e+00    5.3883037424e-01   -2.6642764009e+00   -1.2775667440e+01   -2.4206399002e+00    1.0165384487e+04    1.0036274460e+00    9.9489670438e-01
        65   -1.0511515674e+01    1.1085466752e+02   -2.2018419809e+01    1.1506904136e+01   -7.1446706730e+00    5.6547864399e-01   -2.6635603402e+00   -1.2775667440e+01   -2.4180221946e+00    1.0169239287e+04    1.0185054750e+00    9.9512045231e-01
